date,meantemp,humidity,wind_speed,meanpressure
1/1/2013,10,84.5,0,1015.6666666666666
1/2/2013,7.4,92,2.98,1017.8
1/3/2013,7.166666666666667,87,4.633333333333334,1018.6666666666666
1/4/2013,8.666666666666666,71.33333333333333,1.2333333333333334,1017.1666666666666
1/5/2013,6,86.83333333333333,3.6999999999999997,1016.5
1/6/2013,7,82.8,1.48,1018
1/7/2013,7,78.6,6.3,1020
1/8/2013,8.857142857142858,63.714285714285715,7.142857142857143,1018.7142857142857
1/9/2013,14,51.25,12.5,1017
1/10/2013,11,62,7.3999999999999995,1015.6666666666666
1/11/2013,15.714285714285714,51.285714285714285,10.571428571428571,1016.1428571428571
1/12/2013,14,74,13.228571428571428,1015.5714285714286
1/13/2013,15.833333333333334,75.16666666666667,4.633333333333334,1013.3333333333334
1/14/2013,12.833333333333334,88.16666666666667,0.6166666666666667,1015.1666666666666
1/15/2013,14.714285714285714,71.85714285714286,0.5285714285714286,1015.8571428571429
1/16/2013,13.833333333333334,86.66666666666667,0,1016.6666666666666
1/17/2013,16.5,80.83333333333333,5.250000000000001,1015.8333333333334
1/18/2013,13.833333333333334,92.16666666666667,8.950000000000001,1014.5
1/19/2013,12.5,76.66666666666667,5.883333333333333,1021.6666666666666
1/20/2013,11.285714285714286,75.28571428571429,8.471428571428572,1020.2857142857143
1/21/2013,11.2,77,2.22,1021
1/22/2013,9.5,79.66666666666667,3.0833333333333335,1021.8
1/23/2013,14,60.166666666666664,4.016666666666667,1020.5
1/24/2013,13.833333333333334,60.666666666666664,6.166666666666667,1020.5
1/25/2013,12.25,67,5.55,1020.75
1/26/2013,12.666666666666666,64.16666666666667,6.800000000000001,1019.6666666666666
1/27/2013,12.857142857142858,65.57142857142857,5.557142857142857,1018.1428571428571
1/28/2013,14.833333333333334,56,3.6999999999999997,1017.8333333333334
1/29/2013,14.125,65.5,3.2375,1016.625
1/30/2013,14.714285714285714,70.42857142857143,1.0571428571428572,1017.8571428571429
1/31/2013,16.2,65.6,2.96,1018.4
2/1/2013,16,73,2.22,1016
2/2/2013,16.285714285714285,77.57142857142857,1.3285714285714287,1017.1428571428571
2/3/2013,18,65.57142857142857,1.8571428571428572,1015.2857142857143
2/4/2013,17.428571428571427,74.28571428571429,11.114285714285714,1014.5714285714286
2/5/2013,16.625,92.375,9.725000000000001,1016.375
